category_name,Category
STRAIGHT RYE WHISKIES,Whisky
SINGLE MALT SCOTCH,Whisky
BARBADOS RUM,Rum
IMPORTED AMARETTO,Amaretto
CREME DE ALMOND,Schnapps
IRISH WHISKIES,Whisky
MISCELLANEOUS BRANDIES,Brandies
DISTILLED SPIRITS SPECIALTY,Whisky
APPLE SCHNAPPS,Schnapps
COFFEE LIQUEURS,Liqueurs
SINGLE BARREL BOURBON WHISKIES,Whisky
TEQUILA,Tequila
SPICED RUM,Rum
FLAVORED RUM,Rum
CREAM LIQUEURS,Liqueurs
IMPORTED VODKA,Vodka
VODKA 80 PROOF,Whisky
VODKA FLAVORED,Vodka
100 PROOF VODKA,Vodka
SCOTCH WHISKIES,Whisky
BLENDED WHISKIES,Whisky
AMERICAN DRY GINS,Gin
CANADIAN WHISKIES,Whisky
DECANTERS & SPECIALTY PACKAGES,Whisky
IMPORTED DRY GINS,Gin
MISCELLANEOUS SCHNAPPS,Schnapps
TRIPLE SEC,Liqueurs
BLACKBERRY BRANDIES,Brandies
AMERICAN SLOE GINS,Gin
AMERICAN AMARETTO,Amaretto
ROCK & RYE,Whisky
APRICOT BRANDIES,Brandies
GRAPE SCHNAPPS,Schnapps
PEACH SCHNAPPS,Schnapps
BUTTERSCOTCH SCHNAPPS,Schnapps
CINNAMON SCHNAPPS,Schnapps
STRAWBERRY SCHNAPPS,Schnapps
RASPBERRY SCHNAPPS,Schnapps
WATERMELON SCHNAPPS,Schnapps
ROOT BEER SCHNAPPS,Schnapps
TROPICAL FRUIT SCHNAPPS,Schnapps
BOTTLED IN BOND BOURBON,Whisky
,
WHISKEY LIQUEUR,
JAMAICA RUM,
OTHER PROOF VODKA,
FLAVORED GINS,
AMERICAN ALCOHOL,
DARK CREME DE CACAO,
CHERRY BRANDIES,
GREEN CREME DE MENTHE,
WHITE CREME DE CACAO,
PEACH BRANDIES,
ANISETTE,
WHITE CREME DE MENTHE,
SPEARMINT SCHNAPPS,
